,,,
"Distribution of Population, Number of Households and Average Household Size by County",,,
Source: 2019 Kenya Population and Housing Census Volume I: Population by County and Sub-County,,,
https://www.knbs.or.ke/?wpdmpro=2019-kenya-population-and-housing-census-volume-i-population-by-county-and-sub-county,,,
"Population, Households, Household size, County, Kenya",,,
,,,
name,Population,No.of Households,Avg Household size
Kenya,47213282,12143913,39
Mombasa,1190987,378422,31
Kwale,858748,173176,50
Kilifi,1440958,298472,48
Tana River,314710,68242,46
Lamu,141909,37963,37
Taita-Taveta,335747,96429,35
Garissa,835482,141394,59
Wajir,775302,127932,61
Mandera,862079,125763,69
Marsabit,447150,77495,58
Isiolo,267997,58072,46
Meru,1535635,426360,36
Tharaka-Nithi,391303,109860,36
Embu,604769,182743,33
Kitui,1130134,262942,43
Machakos,1414022,402466,35
Makueni,977015,244669,40
Nyandarua,636002,179686,35
Nyeri,752695,248050,30
Kirinyaga,605630,204188,30
Murang'a,1053059,318105,33
Kiambu,2402834,795241,30
Turkana,922210,164519,56
West Pokot,618867,116182,53
Samburu,307957,65910,47
Trans Nzoia,985333,223808,44
Uasin Gishu,1152671,304943,38
Elgeyo-Marakwet,453403,99861,45
Nandi,883634,199426,44
Baringo,662760,142518,47
Laikipia,513879,149271,34
Nakuru,2142667,616046,35
Narok,1149379,241125,48
Kajiado,1107296,316179,35
Kericho,896863,206036,44
Bomet,873023,187641,47
Kakamega,1861332,433207,43
Vihiga,587189,143365,41
Bungoma,1663898,358796,46
Busia,886856,198152,45
Siaya,989708,250698,39
Kisumu,1144777,300745,38
Homa Bay,1125823,262036,43
Migori,1108950,240168,46
Kisii,1260509,308054,41
Nyamira,603051,150669,40
Nairobi,4337080,1506888,29